epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1477,3.03282,4.65426,2.71428,0.00121,0.17553,0.00062,0.00015,3.39757,5.0899,2.99167,0.00065,0.00065,0.00065
2,16.6103,3.15446,4.49307,2.66822,0.00097,0.14096,0.00024,5e-05,3.78963,5.17837,3.1543,0.0012906,0.0012906,0.0012906
3,23.8584,3.26032,4.45229,2.71647,0.00088,0.12766,0.00056,0.00013,3.72971,4.20556,3.46375,0.00190479,0.00190479,0.00190479
4,30.9209,3.24033,4.345,2.70818,0.0007,0.10106,0.00016,4e-05,3.84139,4.43074,3.80813,0.0018812,0.0018812,0.0018812
5,37.4571,3.39123,4.20202,2.78776,0.00105,0.14628,0.00033,7e-05,3.67174,4.17522,3.14014,0.0018416,0.0018416,0.0018416
6,41.7012,3.33782,4.24881,2.78884,0.00074,0.10106,0.00033,0.00018,3.86397,4.38094,6.83383,0.001802,0.001802,0.001802
7,48.6042,3.18104,4.13337,2.70722,0.00084,0.11968,0.0002,4e-05,3.67684,4.1544,3.76049,0.0017624,0.0017624,0.0017624
8,56.097,3.22863,4.18792,2.72111,0.00089,0.12766,0.00021,4e-05,3.62539,3.9147,3.19026,0.0017228,0.0017228,0.0017228
9,62.9576,3.26063,4.10199,2.80399,0.00079,0.11436,0.00011,2e-05,3.62015,4.09104,3.19511,0.0016832,0.0016832,0.0016832
10,69.8747,3.1691,4.05702,2.71924,0.00093,0.125,0.00042,0.0001,3.62883,4.08896,3.13117,0.0016436,0.0016436,0.0016436
11,76.7587,3.25131,4.13581,2.77892,0.00087,0.11436,0.0001,2e-05,3.64726,4.07287,3.14569,0.001604,0.001604,0.001604
12,83.7412,3.11265,4.07392,2.71711,0.00097,0.1383,0.00018,3e-05,3.48225,3.88503,2.9967,0.0015644,0.0015644,0.0015644
13,87.1082,3.02342,3.96839,2.72794,0.00102,0.13564,0.00039,0.0001,3.53172,3.97895,3.14852,0.0015248,0.0015248,0.0015248
14,94.0392,3.08953,4.09325,2.71664,0.00101,0.07979,0.00045,0.00015,3.54636,4.04464,3.1847,0.0014852,0.0014852,0.0014852
15,100.716,3.17212,4.17313,2.79285,0.00131,0.15691,0.00039,9e-05,3.4307,3.86877,3.13329,0.0014456,0.0014456,0.0014456
16,107.917,3.08649,4.07348,2.73594,0.00128,0.16223,0.00043,9e-05,3.36905,3.77524,3.04047,0.001406,0.001406,0.001406
